City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
152,Batagay-Alyta,67.8006,130.4114,48.92,82,85,4.38,RU,2022-07-16 14:50:11,light rain
153,San Fernando,15.0286,120.6898,76.73,94,100,6.78,PH,2022-07-16 14:50:11,moderate rain
154,Koungou,-12.7336,45.2042,76.71,69,0,12.66,YT,2022-07-16 14:50:12,clear sky
155,Ndele,8.4109,20.6473,75.15,89,95,3.13,CF,2022-07-16 14:50:12,overcast clouds
156,New Norfolk,-42.7826,147.0587,50.92,76,99,8.48,AU,2022-07-16 14:50:13,overcast clouds
157,Pevek,69.7008,170.3133,33.22,93,100,9.44,RU,2022-07-16 14:50:13,overcast clouds
158,Lichinga,-13.3128,35.2406,62.69,55,75,10.36,MZ,2022-07-16 14:50:13,broken clouds
159,Chuy,-33.6971,-53.4616,51.13,96,100,13.42,UY,2022-07-16 14:50:14,light rain
160,East London,-33.0153,27.9116,72.54,68,0,4.61,ZA,2022-07-16 14:46:06,clear sky
161,Gravdal,68.1214,13.5031,52.02,80,83,10.83,NO,2022-07-16 14:50:14,broken clouds
162,Oistins,13.0667,-59.5333,76.51,77,60,22.21,BB,2022-07-16 14:50:15,broken clouds
163,Energeticheskiy,43.4278,77.0222,84.76,24,20,6.71,KZ,2022-07-16 14:50:15,few clouds
164,Bonavista,48.6499,-53.1147,59.95,74,73,1.7,CA,2022-07-16 14:50:16,broken clouds
165,Capreol,46.706,-80.9225,71.55,56,20,3.44,CA,2022-07-16 14:50:16,few clouds
166,Kaitangata,-46.2817,169.8464,38.17,73,11,8.21,NZ,2022-07-16 14:50:16,few clouds
167,Abu Dhabi,24.4667,54.3667,105.91,41,100,8.05,AE,2022-07-16 14:50:17,overcast clouds
168,Ahipara,-35.1667,173.1667,50.74,75,21,10.0,NZ,2022-07-16 14:50:17,few clouds
169,Khatanga,71.9667,102.5,61.0,55,91,6.82,RU,2022-07-16 14:50:18,overcast clouds
170,Yumen,40.2833,97.2,77.47,25,100,6.69,CN,2022-07-16 14:50:18,overcast clouds
171,Beruwala,6.4788,79.9828,79.45,85,99,3.53,LK,2022-07-16 14:50:19,overcast clouds
172,Clyde River,70.4692,-68.5914,50.23,62,20,19.57,CA,2022-07-16 14:50:19,few clouds
173,Port Blair,11.6667,92.75,78.84,94,100,2.3,IN,2022-07-16 14:50:20,drizzle
174,Buraydah,26.326,43.975,106.25,6,28,12.71,SA,2022-07-16 14:50:20,scattered clouds
175,Trairi,-3.2778,-39.2689,88.12,48,26,12.68,BR,2022-07-16 14:48:14,scattered clouds
176,Ilulissat,69.2167,-51.1,38.97,84,54,5.82,GL,2022-07-16 14:50:21,broken clouds
177,Takoradi,4.8845,-1.7554,77.88,79,100,13.0,GH,2022-07-16 14:50:21,overcast clouds
